
=== Eastern Mediterranean (5295 records) ===
TrackNumber  Vessel_Name                    IMO        Flag  Location                  Country             
MCB0291319   HENG HUI 5                     9323015    CN    Iskenderun                Turkey              
MCB0291528   HENG HUI 5                     9323015    CN    Beirut                    Lebanon             
CFA0855424   ITAL LIBERA                    9322475    None  Port Said                 Egypt               
NAM9453464   KINGSTON                       9389693    MT    Iskenderun                Turkey              
NAM9453465   KINGSTON                       9389693    MT    Iskenderun                Turkey              
NAM9453467   KINGSTON                       9389693    MT    Iskenderun                Turkey              
NAM9453473A  KINGSTON                       9389693    MT    Iskenderun                Turkey              
NAM9453474   KINGSTON                       9389693    MT    Iskenderun                Turkey              
NAM9453475   KINGSTON                       9389693    MT    Iskenderun                Turkey              
MCB0273367   KOI                            9461489    LR    Mersin                    Turkey              
MCB0286097   KOI                            9461489    LR    Mersin                    Turkey              
SEL1864074   LILA CANADA                    9332717    LR    Mersin                    Turkey              
CFA0845909   MAERSK LAMANAI                 9527051    DK    Port Said                 Egypt               
CFA0848229   MAERSK LAMANAI                 9527051    DK    Port Said                 Egypt               
CFA0838504   MAERSK LEON                    9526966    DK    Port Said                 Egypt               
CFA0855424   MAERSK LEON                    9526966    DK    Port Said                 Egypt               
CFA0839245   MAERSK LOTA                    9526954    DK    Port Said                 Egypt               
CFA0840414   MAERSK LOTA                    9526954    DK    Port Said                 Egypt               
CFA0840948   MAERSK LOTA                    9526954    DK    Alexandria                Egypt               
CFA0840948   MAERSK LOTA                    9526954    DK    El Dekheila               Egypt               
NAM9454662   MOL ENDOWMENT                  9333852    PA    Iskenderun                Turkey              
NAM7870987   MOL PROFICIENCY                9403619    MH    Mersin                    Turkey              
NAM8007051   MOL PROFICIENCY                9403619    MH    Iskenderun                Turkey              
NAM8209101   MOL PROFICIENCY                9403619    MH    Iskenderun                Turkey              
NAM8209460   MOL PROFICIENCY                9403619    MH    Iskenderun                Turkey              
NAM8224005   MOL PROFICIENCY                9403619    MH    Iskenderun                Turkey              
NAM7951802   ONE TRITON                     9356713    KY    Iskenderun                Turkey              
NAM7951881   ONE TRITON                     9356713    KY    Mersin                    Turkey              
NAM7951969   ONE TRITON                     9356713    KY    Iskenderun                Turkey              
NAM8166017   ONE TRITON                     9356713    KY    Iskenderun                Turkey              
NAM8168558   ONE TRITON                     9356713    KY    Iskenderun                Turkey              
MCB0321133   ONUR G A                       9238076    MT    Iskenderun                Turkey              
MCB0321133   ONUR G A                       9238076    MT    Port Said                 Egypt               
MCB0321218   ONUR G A                       9238076    MT    Iskenderun                Turkey              
MCB0321218   ONUR G A                       9238076    MT    Port Said                 Egypt               
SEL2015439   PADIAN 3                       9162435    PA    Beirut                    Lebanon             
CFA0840455   SAN RAPHAEL MAERSK             9622253    DK    Port Said                 Egypt               
CFA0838510   SANTA INES                     9444845    DK    Port Said                 Egypt               
CFA0838512   SANTA INES                     9444845    DK    Port Said                 Egypt               
CFA0840986   SANTA INES                     9444845    DK    Alexandria                Egypt               
CFA0840986   SANTA INES                     9444845    DK    El Dekheila               Egypt               
CFA0857300   SANTA INES                     9444845    DK    Port Said                 Egypt               
SEL1875303   SHUI SPIRIT                    9216729    PA    Mersin                    Turkey              
MCB0273367   SPIL CITRA                     9392559    ID    Mersin                    Turkey              
MCB0279128   SPIL CITRA                     9392559    PA    Iskenderun                Turkey              
MCB0279129   SPIL CITRA                     9392559    PA    Iskenderun                Turkey              
MCB0292010   SPIL CITRA                     9392559    PA    Mersin                    Turkey              
MCB0292125   SPIL CITRA                     9392559    PA    Mersin                    Turkey              
MCB0292128   SPIL CITRA                     9392559    PA    Mersin                    Turkey              
MCB0308143   SPIL CITRA                     9392559    PA    Alexandria                Egypt               
MCB0308143   SPIL CITRA                     9392559    PA    Iskenderun                Turkey              
MCB0308149   SPIL CITRA                     9392559    PA    Alexandria                Egypt               
MCB0308149   SPIL CITRA                     9392559    PA    Iskenderun                Turkey              
MCB0315282   SPIRIT OF BERTRAM              9673642    PT    Alexandria                Egypt               
MCB0315282   SPIRIT OF BERTRAM              9673642    PT    Iskenderun                Turkey              
SEL1913515   VENTO DI LEVANTE               9683489    LR    Beirut                    Lebanon             
SEL1913515   VENTO DI LEVANTE               9683489    LR    Mersin                    Turkey              
